,sale_id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition_build,sqft_above,sqft_basement,yr_built,yr_renovated
70,70,3.0,2.5,2620,8950,2.0,0,0,3,2620,0,1992,0
71,71,3.0,1.5,1350,7620,1.0,0,0,5,1350,0,1941,0
72,72,4.0,3.0,2400,3340,1.0,0,0,4,1200,1200,1964,0
73,73,4.0,2.5,2760,5000,1.5,0,0,5,1680,1080,1928,1970
74,74,4.0,2.25,3070,16028,1.0,0,3,3,1870,1200,1976,0
75,75,2.0,1.75,2040,28593,1.5,1,3,4,2040,0,1919,1990
76,76,4.0,2.0,1770,6000,2.0,0,0,5,1770,0,1911,1981
77,77,4.0,3.75,3490,9170,2.0,0,0,3,3490,0,2012,1912
78,78,2.0,1.5,830,1333,2.0,0,0,3,830,0,2005,0
79,79,2.0,2.5,980,895,2.0,0,0,3,670,310,2009,0
80,80,3.0,2.5,1570,1433,3.0,0,0,3,1570,0,2010,0
81,81,4.0,3.25,3270,5187,2.0,0,0,3,3110,160,2014,0
82,82,4.0,2.5,2160,6223,2.0,0,0,3,2160,0,2010,0
83,83,4.0,3.75,3280,11000,2.0,0,0,3,2320,960,2008,0
84,84,4.0,2.5,3360,7685,2.0,0,0,3,3360,0,2001,0
85,85,5.0,2.75,3150,7119,2.0,0,0,3,3150,0,2013,1923
86,86,3.0,3.5,1810,1846,2.0,0,0,4,1440,370,2009,0
87,87,4.0,2.5,2740,7140,2.0,0,0,3,2740,0,1993,0
88,88,5.0,4.75,3830,35000,1.0,0,0,3,2130,1700,1976,0
89,89,3.0,3.25,3190,5283,2.0,0,0,3,3190,0,2007,0
90,90,3.0,2.25,2350,10450,1.0,0,0,3,1390,960,1977,2004
91,91,4.0,2.25,2510,8165,1.0,0,0,4,1610,900,1972,0
92,92,2.0,2.0,1680,4950,1.0,0,0,3,1680,0,2006,0
93,93,3.0,2.0,1770,6610,1.0,0,0,4,960,810,1954,1979
94,94,3.0,1.0,1090,7315,1.0,0,0,5,1090,0,1981,0
95,95,5.0,2.5,3001,5710,2.0,0,0,3,3001,0,2006,0
96,96,5.0,3.0,2450,4591,2.0,0,0,3,2450,0,1994,0
97,97,3.0,3.25,3610,59677,2.0,0,0,3,2440,1170,2003,0
98,98,4.0,2.0,2250,7500,1.0,0,0,5,1200,1050,1956,0
99,99,3.0,1.5,1240,7735,1.0,0,0,4,1240,0,1957,2001
100,100,4.0,2.0,2260,6000,1.0,0,0,3,1430,830,1958,2004
101,101,4.0,1.75,2090,8164,1.0,0,0,4,1070,1020,1963,0
102,102,5.0,1.75,2020,7902,1.0,0,0,3,1220,800,1962,2003
103,103,3.0,1.75,1960,5000,1.0,0,0,5,980,980,1911,1984
104,104,5.0,2.25,3120,16672,2.0,0,0,4,3120,0,1969,0
105,105,3.0,1.5,1250,7500,1.0,0,0,3,1250,0,1967,2011
106,106,3.0,2.25,1490,9600,1.0,0,0,4,1170,320,1987,0
107,107,6.0,3.0,2890,2370,2.5,0,0,3,2290,600,1906,2014
108,108,3.0,1.0,1900,33888,1.5,0,0,4,1900,0,1942,1982
109,109,3.0,1.75,1680,2400,1.0,0,0,5,870,810,1922,1956
110,110,3.0,2.5,2030,8398,2.0,0,0,4,2030,0,1975,0
111,111,4.0,2.5,3740,8700,1.0,0,0,3,2260,1480,2004,2003
112,112,3.0,1.75,1580,11750,1.0,0,0,4,1180,400,1951,1999
113,113,3.0,2.25,1780,6120,1.5,0,0,4,1390,390,1927,0
114,114,2.0,1.0,910,6232,1.0,0,0,3,910,0,1943,2002
115,115,7.0,4.0,3440,8100,2.0,0,0,3,3440,0,1970,2014
116,116,3.0,2.5,1740,13750,2.0,0,0,4,1740,0,1975,0
117,117,5.0,2.5,3400,8970,1.0,0,0,4,1700,1700,1959,0
118,118,4.0,3.25,4400,16625,2.0,0,0,3,4400,0,2003,0
119,119,3.0,2.5,2010,14298,2.0,0,0,3,2010,0,1977,2004
120,120,4.0,2.25,2710,38180,2.0,0,0,4,2710,0,1977,0
121,121,4.0,2.5,5300,26211,2.0,1,2,2,4570,730,1923,0
122,122,3.0,1.5,1310,3880,1.0,0,0,3,1090,220,1956,2001
123,123,4.0,1.5,1950,12559,1.5,0,0,3,1950,0,1939,1969
124,124,3.0,1.0,1040,6535,1.0,0,0,3,1040,0,1947,2012
125,125,3.0,1.75,1090,7200,1.0,0,0,3,1090,0,1968,1997
126,126,2.0,0.75,650,5360,1.0,0,0,4,650,0,1931,0
127,127,3.0,2.0,1480,6600,1.0,0,2,3,740,740,1943,2002
128,128,2.0,1.0,790,2640,1.0,0,0,3,790,0,1973,2013
129,129,4.0,2.5,3560,11119,1.0,0,2,3,2290,1270,1986,0
130,130,4.0,2.5,3000,5548,2.0,0,0,3,3000,0,2006,0
131,131,4.0,2.5,3490,7494,2.0,0,3,3,3490,0,2000,0
132,132,3.0,1.75,2340,10495,1.0,0,0,4,2340,0,1967,0
133,133,3.0,1.75,1650,8254,1.0,0,0,5,1060,590,1951,0
134,134,3.0,2.0,1940,5820,1.5,0,0,5,1150,790,1944,0
135,135,5.0,3.0,3410,9600,1.0,0,0,4,1870,1540,1968,0
136,136,3.0,1.0,1710,4050,1.5,0,0,3,1710,0,1909,2004
137,137,4.0,1.5,2740,4000,2.0,0,0,5,1930,810,1905,0
138,138,3.0,2.75,1250,892,2.0,0,0,3,1040,210,2010,0
139,139,3.0,2.25,2450,42180,1.0,0,0,4,2450,0,1978,2000
140,140,3.0,1.75,1690,8190,1.0,0,0,4,1690,0,1958,1972
141,141,4.0,1.75,1950,13320,1.0,0,0,4,1370,580,1969,0
142,142,5.0,2.0,2290,7125,1.0,0,0,3,1190,1100,1964,2000
143,143,5.0,3.25,3370,17458,1.0,0,2,5,2000,1370,1982,0
144,144,3.0,1.0,1090,8640,1.0,0,0,4,1090,0,1973,0
145,145,3.0,1.0,1190,9486,1.0,0,0,4,1190,0,1953,1983
146,146,5.0,4.25,3530,7924,2.0,0,0,3,3530,0,2001,0
147,147,3.0,1.0,1440,5000,2.0,0,0,3,1440,0,1910,2006
148,148,4.0,1.75,2180,13529,1.0,0,0,3,1090,1090,1956,2001
149,149,4.0,1.0,1410,6000,1.0,0,0,3,810,600,1925,2002
150,150,3.0,2.5,1950,8251,2.0,0,0,3,1950,0,1990,2009
151,151,5.0,3.25,4860,23723,2.0,0,2,4,3820,1040,1989,0
152,152,3.0,1.0,1660,7210,1.0,0,0,3,1100,560,1963,2008
153,153,3.0,1.0,1390,12823,1.0,0,0,4,1390,0,1968,0
154,154,3.0,2.0,1350,14200,1.0,0,0,3,1350,0,1989,0
155,155,3.0,2.0,1530,5401,1.0,0,0,4,1530,0,1937,0
156,156,3.0,1.5,1270,5112,1.0,0,0,3,1270,0,1950,2005
157,157,4.0,2.25,2140,6355,2.0,0,0,3,2140,0,2002,0
158,158,4.0,2.5,2040,5616,2.0,0,0,3,2040,0,2012,1912
159,159,3.0,3.5,2876,5086,2.0,0,0,3,2360,516,2007,0
160,160,3.0,2.5,1580,1161,2.0,0,0,3,1010,570,2008,0
161,161,4.0,3.5,3400,5196,2.0,0,0,3,3400,0,2012,1912
162,162,4.0,2.5,3520,6773,2.5,0,0,3,2650,870,2006,0
163,163,4.0,2.5,2210,4861,2.0,0,0,3,2210,0,2013,1923
164,164,4.0,2.5,2790,5602,2.0,0,0,3,2790,0,2009,0
165,165,3.0,2.5,1450,5008,1.0,0,0,3,840,610,2007,0
166,166,4.0,1.75,1620,4980,1.0,0,0,4,860,760,1947,1988
167,167,3.0,1.5,1220,1086,3.0,0,0,3,1220,0,2007,0
168,168,3.0,1.75,2000,5000,1.0,0,0,4,1110,890,1921,0
169,169,4.0,2.5,2190,7350,2.5,0,0,5,2190,0,1958,0
170,170,4.0,1.75,1900,8250,1.0,0,0,4,950,950,1955,2009
171,171,3.0,1.0,1700,4400,1.5,0,0,4,1700,0,1906,1990
172,172,5.0,2.5,2540,3832,2.0,0,0,5,1760,780,1929,0
173,173,2.0,1.0,1170,8925,1.0,0,2,3,1170,0,1911,1979
174,174,5.0,5.0,5774,31675,1.0,0,2,3,4490,1284,1984,0
175,175,3.0,2.25,2120,15003,2.0,0,0,3,2120,0,1984,0
176,176,3.0,1.75,2170,26460,1.0,0,0,3,1450,720,1986,0
177,177,4.0,2.75,2450,15002,1.0,0,0,5,2450,0,1974,0
178,178,2.0,1.0,700,5200,1.0,0,0,5,700,0,1952,1998
179,179,3.0,2.5,1780,7214,1.0,0,0,4,1400,380,1986,0
180,180,3.0,2.0,1850,8250,1.0,0,0,4,1150,700,1952,0
181,181,3.0,2.0,1570,5706,1.0,0,0,3,1570,0,1998,2006
182,182,3.0,1.0,1290,5500,1.0,0,0,3,980,310,1951,1994
183,183,5.0,2.0,1700,7314,1.0,0,0,3,1000,700,1956,2001
184,184,2.0,1.5,1159,4800,1.0,0,0,3,1159,0,1948,1994
185,185,3.0,2.75,1850,9600,1.5,0,0,5,1850,0,1965,0
186,186,2.0,1.0,840,3522,1.0,0,0,3,840,0,1947,2012
187,187,3.0,2.5,1690,1618,2.0,0,0,3,1150,540,2014,0
188,188,3.0,1.0,1050,9876,1.0,0,0,3,1050,0,1953,0
189,189,3.0,1.75,1400,3825,1.5,0,0,4,1100,300,1904,0
190,190,3.0,2.5,2550,7200,2.0,0,2,3,2550,0,1981,2013
191,191,3.0,2.5,1840,5011,2.0,0,0,3,1840,0,2012,1912
192,192,3.0,1.5,2360,6750,2.0,0,0,5,1930,430,1926,0
193,193,4.0,2.5,2240,14667,2.0,0,0,4,2240,0,1989,0
194,194,4.0,2.5,2700,4004,2.0,0,0,3,2700,0,2004,2003
195,195,3.0,2.5,3030,30007,1.5,0,0,4,3030,0,1992,0
196,196,3.0,1.75,1830,5120,1.5,0,2,5,1830,0,1903,0
197,197,3.0,2.5,2220,6049,2.0,0,0,4,2220,0,1990,0
198,198,3.0,2.5,2090,7640,1.0,0,0,3,1360,730,1962,2014
199,199,3.0,1.75,1600,6120,1.5,0,0,3,1600,0,1924,2011
200,200,4.0,1.75,2010,8625,1.0,0,0,4,1340,670,1957,2001
201,201,2.0,1.0,830,4000,1.0,0,0,3,830,0,1955,2005
202,202,4.0,2.5,2010,7226,2.0,0,0,3,2010,0,1995,0
203,203,3.0,1.0,1050,5402,1.5,0,0,4,1050,0,1906,1990
204,204,4.0,2.5,2150,39449,1.0,0,0,3,1420,730,1978,0
205,205,3.0,1.0,860,11900,1.0,0,0,4,860,0,1963,0
206,206,3.0,2.5,3100,20553,1.0,0,0,3,3100,0,1954,2005
207,207,3.0,1.0,1100,17334,1.0,0,0,3,1100,0,1978,0
208,208,3.0,1.5,1830,8000,1.0,0,0,4,1830,0,1957,2001
209,209,2.0,1.75,1250,34395,1.0,0,0,4,1250,0,1950,1983
210,210,3.0,2.5,1820,4883,2.0,0,0,3,1820,0,2005,0
211,211,3.0,2.0,2090,42689,1.5,0,0,3,2090,0,1959,1998
212,212,3.0,3.5,2100,12384,2.0,0,0,3,2100,0,1980,0
213,213,4.0,2.5,2310,14023,2.0,0,0,3,2310,0,1991,0
214,214,4.0,2.25,2060,5649,1.0,0,0,5,1360,700,1941,0
215,215,4.0,2.25,4470,60373,2.0,0,0,3,4470,0,1988,2000
216,216,3.0,1.0,1660,7500,1.0,0,0,4,1060,600,1940,2001
217,217,5.0,4.5,3810,8019,2.0,0,0,3,3810,0,2008,0
218,218,3.0,1.75,2110,10200,2.0,0,0,4,2110,0,1966,0
219,219,2.0,2.0,2370,217800,1.5,0,0,3,1600,770,1992,0
220,220,3.0,2.25,1970,3716,2.0,0,0,3,1970,0,1997,0
221,221,4.0,2.5,2470,33305,2.0,0,0,3,2470,0,1993,0
222,222,3.0,1.0,1480,7830,1.0,0,0,3,1480,0,1952,2008
223,223,5.0,3.0,2257,10117,1.0,0,0,3,1363,894,2005,0
224,224,2.0,1.0,700,6000,1.0,0,0,4,700,0,1949,1985
225,225,4.0,2.0,1630,9010,1.0,0,0,4,1050,580,1975,0
226,226,4.0,2.5,3430,10157,2.0,0,0,3,3430,0,2000,0
227,227,5.0,1.75,2220,6000,1.5,0,0,3,1420,800,1923,1998
228,228,3.0,1.75,1340,7473,1.0,0,0,4,1340,0,1973,0
229,229,2.0,1.0,980,2130,1.0,0,0,4,860,120,1918,1974
230,230,3.0,2.5,2580,13096,2.0,0,0,3,2580,0,1986,0
231,231,4.0,2.5,2230,4541,2.0,0,0,3,2230,0,2006,0
232,232,4.0,2.0,2290,11137,1.0,0,0,4,2290,0,1955,2009
233,233,3.0,1.0,1260,8280,1.0,0,0,3,1260,0,1946,0
234,234,4.0,2.75,1680,11180,1.0,0,0,4,1680,0,1966,0
235,235,4.0,3.25,3200,7081,2.0,0,0,3,3200,0,2004,2003
236,236,4.0,2.5,3320,7644,2.0,0,0,3,3320,0,1995,0
237,237,4.0,2.5,3040,24123,2.0,0,0,3,3040,0,1999,0
238,238,4.0,2.75,2270,7375,1.0,0,0,4,1290,980,1973,0
239,239,3.0,2.5,2910,17172,2.0,0,0,3,2910,0,1989,0
240,240,5.0,2.25,2510,9887,2.0,0,0,3,2510,0,1972,2002
241,241,2.0,1.0,1240,7200,1.0,0,0,3,1240,0,1967,2011
242,242,3.0,2.75,2580,5200,2.0,0,0,3,2580,0,2008,0
243,243,3.0,2.75,2470,3600,2.0,0,0,3,2470,0,2007,0
244,244,4.0,3.5,4910,9444,1.5,0,0,3,3110,1800,2007,0
245,245,3.0,2.5,1690,5025,2.0,0,0,3,1690,0,2003,0
246,246,4.0,2.5,2240,12032,1.0,0,0,3,2240,0,1983,2009
247,247,3.0,2.0,1650,7352,1.0,0,0,3,1160,490,1979,2014
248,248,4.0,2.5,2710,5880,2.0,0,0,3,2710,0,1998,2006
249,249,3.0,1.5,1260,10350,1.0,0,0,3,1260,0,1959,1989
250,250,3.0,1.0,1150,8100,1.0,0,0,3,1150,0,1932,0
251,251,4.0,2.75,2550,7636,1.0,0,0,3,1440,1110,1986,0
252,252,3.0,1.75,1490,6930,1.0,0,0,4,1490,0,1990,0
253,253,4.0,1.75,2020,7865,1.0,0,0,4,1010,1010,1963,0
254,254,2.0,1.0,1320,4520,1.0,0,1,3,1320,0,1912,1971
255,255,3.0,1.0,1230,10350,1.0,0,0,4,1230,0,1957,2001
256,256,4.0,2.5,2070,7800,2.0,0,0,3,2070,0,1989,0
257,257,4.0,1.75,2930,11562,1.0,0,3,3,1670,1260,1947,2012
258,258,3.0,1.0,1090,8520,1.0,0,0,3,1090,0,1967,2011
259,259,3.0,1.0,1400,7066,1.0,0,0,3,1400,0,1957,2000
260,260,4.0,2.0,1550,4815,1.5,0,0,3,1550,0,1909,2004
261,261,3.0,1.0,1220,13000,1.0,0,0,4,1220,0,1955,2009
262,262,3.0,2.5,1870,7344,1.0,0,0,3,1470,400,1980,0
263,263,3.0,2.25,2150,30476,2.0,0,0,3,2150,0,1991,0
264,264,3.0,1.0,980,3090,1.5,0,0,3,980,0,1903,2005
265,265,3.0,1.5,1490,8475,1.0,0,0,4,1490,0,1963,0
266,266,3.0,1.5,1120,7000,1.0,0,0,3,1120,0,1955,2005
267,267,3.0,2.25,1180,9630,2.0,0,0,3,1180,0,1986,0
268,268,4.0,2.5,3240,20301,2.0,0,0,3,3240,0,1985,0
269,269,4.0,2.5,2150,6807,2.0,0,0,4,2150,0,1991,0
270,270,3.0,2.5,2240,10800,2.0,0,0,3,2240,0,1996,0
271,271,3.0,2.0,1400,7384,1.0,0,0,3,1150,250,1979,2014
272,272,3.0,2.25,1980,40887,1.0,0,0,4,1980,0,1980,0
273,273,3.0,1.0,1330,20562,1.5,0,0,3,1330,0,1959,1989
274,274,4.0,2.5,3200,7535,2.0,0,0,3,3200,0,2006,0
275,275,2.0,1.0,1490,6000,1.0,0,0,3,1090,400,1946,0
276,276,5.0,4.25,3920,16258,2.0,0,0,3,2900,1020,1990,2009
277,277,5.0,1.75,2000,3750,2.0,0,0,4,2000,0,1921,0
278,278,4.0,2.5,2680,9185,2.0,0,0,3,2680,0,1989,0
279,279,4.0,2.0,1670,9987,1.0,0,0,3,1670,0,1967,2011
280,280,4.0,3.0,3150,9130,2.0,0,0,3,3150,0,2001,0
281,281,4.0,3.25,2740,7266,2.0,0,0,3,2060,680,2003,0
282,282,4.0,1.75,1890,8000,1.0,0,0,4,1250,640,1960,2001
283,283,7.0,3.5,2870,29699,1.0,0,0,3,1520,1350,1961,2004
284,284,3.0,1.0,1160,10384,1.0,0,0,4,1160,0,1969,0
285,285,4.0,1.75,3550,19865,2.0,0,0,3,3550,0,1962,2002
286,286,3.0,1.75,1790,6117,1.0,0,2,3,1350,440,1940,1996
287,287,3.0,1.75,1680,250470,1.0,0,0,4,1070,610,1940,2001
288,288,3.0,2.5,4560,17622,2.0,0,0,4,3800,760,1986,0
289,289,3.0,2.25,1590,7748,2.0,0,0,4,1590,0,1991,0
290,290,3.0,1.0,1630,10304,1.0,0,0,5,1630,0,1953,0
291,291,3.0,2.5,2700,7434,2.0,0,0,3,2700,0,1991,0
292,292,3.0,2.5,1700,7496,2.0,0,0,3,1700,0,1994,0
293,293,4.0,3.25,3740,12080,1.0,0,0,3,2000,1740,1988,2000
294,294,4.0,3.0,1980,5352,2.5,0,0,3,1980,0,1941,2005
295,295,2.0,1.0,880,6345,1.0,0,0,3,880,0,1919,2001
296,296,3.0,2.0,1400,6200,1.0,0,0,3,700,700,1948,1994
297,297,4.0,2.0,2050,4000,1.5,0,0,5,1210,840,1941,0
298,298,3.0,2.5,2360,4638,2.0,0,3,3,2360,0,1996,0
299,299,4.0,2.0,2560,7798,1.0,0,0,4,1890,670,1947,1988
300,300,3.0,1.5,1340,10224,1.0,0,0,4,1340,0,1956,0
301,301,3.0,1.0,1060,5200,1.0,0,0,5,1060,0,1970,0
302,302,3.0,1.5,850,2500,1.0,0,0,3,850,0,1986,0
303,303,4.0,1.75,1880,7303,1.0,0,0,3,1010,870,1976,0
304,304,3.0,1.0,1230,12305,1.0,0,0,3,1230,0,1955,1990
305,305,4.0,1.75,2290,10290,1.0,0,0,3,1340,950,1960,2012
306,306,3.0,1.0,1660,6582,1.0,0,0,5,1000,660,1946,0
307,307,3.0,2.5,1840,2875,2.0,0,0,4,1840,0,1997,0
308,308,4.0,2.5,3020,17810,1.0,0,0,3,1600,1420,1979,2014
309,309,3.0,1.75,1410,6886,1.0,0,0,3,1410,0,1924,2013
310,310,3.0,1.0,1010,9514,1.0,0,0,3,1010,0,1969,2010
311,311,3.0,1.75,1960,8136,1.0,0,0,3,980,980,1948,1994
312,312,5.0,3.75,3580,14275,2.0,0,0,3,3190,390,1999,0
313,313,4.0,2.5,2240,7200,2.0,0,0,3,2240,0,1995,0
314,314,4.0,2.5,3310,5404,2.0,0,0,3,3310,0,2004,2003
315,315,3.0,2.5,1232,1130,3.0,0,0,3,1232,0,2007,0
316,316,4.0,3.5,3930,5680,2.0,0,1,3,2820,1110,2013,1923
317,317,3.0,2.5,1720,3600,2.0,0,0,3,1720,0,2010,0
318,318,3.0,2.25,1490,974,2.0,0,0,3,1220,270,2009,0
319,319,3.0,2.5,3150,151588,2.0,0,0,3,3150,0,2007,0
320,320,4.0,2.5,3950,10856,3.0,0,0,3,3950,0,2013,1923
321,321,5.0,2.75,3030,10335,2.0,0,0,3,3030,0,2013,1923
322,322,2.0,1.5,1070,9643,1.0,0,0,3,1070,0,1985,0
323,323,3.0,2.5,2320,36847,2.0,0,2,3,2320,0,1992,0
324,324,1.0,1.0,700,5100,1.0,0,0,3,700,0,1942,1999
325,325,3.0,2.5,2720,6439,2.0,0,0,3,2720,0,2005,0
326,326,3.0,2.5,1800,5761,2.0,0,0,4,1800,0,1990,0
327,327,3.0,1.75,1560,4049,1.5,0,2,3,1000,560,1926,2003
328,328,3.0,2.0,1760,11410,1.0,0,0,5,1060,700,1977,0
329,329,4.0,3.25,3120,5000,2.0,0,0,3,2370,750,2005,0
330,330,2.0,1.0,2020,7200,1.0,0,3,4,1700,320,1947,1988
331,331,3.0,2.0,1450,2400,1.5,0,0,3,1450,0,1900,2003
332,332,4.0,2.25,1860,7000,1.0,0,0,3,1120,740,1979,2014
333,333,4.0,2.25,2270,7800,1.0,0,0,3,1290,980,1977,2004
334,334,3.0,2.5,1480,15639,2.0,0,0,3,1480,0,1987,2000
335,335,5.0,1.0,1460,6032,2.0,0,0,4,1460,0,1941,1998
336,336,4.0,3.5,1850,6519,2.0,0,0,3,1130,720,1986,0
337,337,3.0,2.5,2170,5000,2.0,0,0,3,2170,0,2003,0
338,338,3.0,1.75,1726,197326,2.0,0,0,4,1726,0,1982,2011
339,339,3.0,1.75,1180,10541,1.0,0,0,4,940,240,1981,0
340,340,4.0,1.5,1370,9957,1.0,0,0,3,900,470,1972,2002
341,341,3.0,2.5,2670,13218,1.0,0,0,4,2670,0,1988,0
342,342,3.0,1.0,1260,6826,1.0,0,0,3,720,540,1944,0
343,343,4.0,1.0,1980,7991,1.5,0,0,3,1980,0,1962,2003
344,344,3.0,2.0,2050,3933,1.0,0,0,3,1180,870,1926,2001
345,345,5.0,2.75,2830,5310,2.0,0,0,3,2830,0,2006,0
346,346,2.0,1.0,910,3600,1.0,0,0,4,910,0,1909,1989
347,347,4.0,2.5,2440,4000,2.0,0,0,3,2440,0,2009,0
348,348,3.0,2.0,2180,5440,1.0,0,0,5,1100,1080,1904,0
349,349,3.0,2.0,1900,6660,1.0,0,0,5,950,950,1966,0
350,350,3.0,2.25,1520,1221,3.0,0,0,3,1520,0,2013,1923
351,351,3.0,2.0,2220,6641,1.0,0,2,4,1220,1000,1947,1988
352,352,4.0,2.75,3280,24440,2.0,0,0,3,3280,0,1996,0
353,353,3.0,2.5,2740,83199,2.0,0,4,3,2740,0,1973,2013
354,354,2.0,1.0,830,6017,1.0,0,0,4,830,0,1954,1979
355,355,2.0,1.0,1010,5200,1.0,0,0,3,1010,0,1955,2005
356,356,3.0,2.25,2060,38377,1.0,0,0,4,1560,500,1978,2000
357,357,3.0,2.25,1990,7340,2.0,0,0,3,1990,0,1984,0
358,358,4.0,2.5,2280,7568,2.0,0,0,4,2280,0,2001,0
359,359,3.0,2.5,1870,5874,2.0,0,0,3,1870,0,2005,0
360,360,3.0,2.25,1720,4000,1.5,0,0,4,1450,270,1921,0
