,sale_id,street,city,statezip,country
95,95,25523 123rd Pl SE,Kent,WA 98030,USA
96,96,7349 24th Ave NW,Seattle,WA 98117,USA
97,97,18913 SE 63rd Pl,Issaquah,WA 98027,USA
98,98,2448 137th Ave SE,Bellevue,WA 98005,USA
99,99,1020 163rd Ave SE,Bellevue,WA 98008,USA
100,100,8028 27th Ave NE,Seattle,WA 98115,USA
101,101,7408 138th Pl NE,Redmond,WA 98052,USA
102,102,10412 Aqua Way S,Seattle,WA 98168,USA
103,103,4958 12th Ave S,Seattle,WA 98108,USA
104,104,9045 NE 40th Pl,Yarrow Point,WA 98004,USA
105,105,1405 E Maple St,Kent,WA 98030,USA
106,106,27020 NE Ring St,Duvall,WA 98019,USA
107,107,420 Boylston Ave E,Seattle,WA 98102,USA
108,108,36400-36452 51st Ave S,Auburn,WA 98001,USA
109,109,1600-1608 25th Ave,Seattle,WA 98122,USA
110,110,18307 NE 19th Pl,Bellevue,WA 98008,USA
111,111,16700 SE 161st St,Renton,WA 98058,USA
112,112,5461 S Othello St,Seattle,WA 98118,USA
113,113,171 Lake Washington Blvd,Seattle,WA 98122,USA
114,114,4812 S Chicago St,Seattle,WA 98118,USA
115,115,718 N 95th St,Seattle,WA 98103,USA
116,116,1673 Rosemont Blvd,Bellevue,WA 98008,USA
117,117,14700 Burke Ave N,Shoreline,WA 98133,USA
118,118,27747 SE 24th Way,Sammamish,WA 98075,USA
119,119,10711 SW 111th Pl,Vashon,WA 98070,USA
120,120,19615 182nd Ave NE,Woodinville,WA 98077,USA
121,121,4437 55th Ave NE,Seattle,WA 98105,USA
122,122,7325 Earl Ave NW,Seattle,WA 98117,USA
123,123,4030-4198 S 186th St,SeaTac,WA 98188,USA
124,124,12446 21st Ave S,Seattle,WA 98168,USA
125,125,12033 NE 136th Pl,Kirkland,WA 98034,USA
126,126,13540 Burke Ave N,Seattle,WA 98133,USA
127,127,4115 SW 106th St,Seattle,WA 98146,USA
128,128,14710 122nd Pl NE,Kirkland,WA 98034,USA
129,129,3883 112th Ave NE,Bellevue,WA 98004,USA
130,130,11409 SE 71st Pl,Newcastle,WA 98056,USA
131,131,4902 159th Pl SE,Bellevue,WA 98006,USA
132,132,8421 SE 72nd Pl,Mercer Island,WA 98040,USA
133,133,18015 25th Ave NE,Shoreline,WA 98155,USA
134,134,324 NW 48th St,Seattle,WA 98107,USA
135,135,2830 177th Ave NE,Redmond,WA 98052,USA
136,136,6101-6149 Corliss Ave N,Seattle,WA 98103,USA
137,137,1707-1713 3rd Ave N,Seattle,WA 98109,USA
138,138,2301 California Ave SW,Seattle,WA 98116,USA
139,139,17081-17183 SE Wax Rd,Covington,WA 98042,USA
140,140,2711 126th Ave SE,Bellevue,WA 98005,USA
141,141,15018 NE 10th Pl,Bellevue,WA 98007,USA
142,142,16541 NE 27th Pl,Bellevue,WA 98008,USA
143,143,8126-8196 Forest Ave SE,Mercer Island,WA 98040,USA
144,144,16014 16th Ave SW,Burien,WA 98166,USA
145,145,217 SW 191st St,Normandy Park,WA 98166,USA
146,146,2278 72nd Ave SE,Mercer Island,WA 98040,USA
147,147,6206 Phinney Ave N,Seattle,WA 98103,USA
148,148,16722 32nd Pl NE,Lake Forest Park,WA 98155,USA
149,149,4118 32nd Ave SW,Seattle,WA 98126,USA
150,150,4222 S 288th Pl,Auburn,WA 98001,USA
151,151,9250 SE 36th Pl,Mercer Island,WA 98040,USA
152,152,29140 42nd Ave S,Auburn,WA 98001,USA
153,153,15846 196th Pl NE,Woodinville,WA 98077,USA
154,154,14405 274th Ct NE,Duvall,WA 98019,USA
155,155,7741 22nd Ave NE,Seattle,WA 98115,USA
156,156,3616 NE 65th St,Seattle,WA 98115,USA
157,157,7125 Silent Creek Ave SE,Snoqualmie,WA 98065,USA
158,158,7617 NE 201st Pl,Kenmore,WA 98028,USA
159,159,12467 NE 171st Pl,Woodinville,WA 98072,USA
160,160,213 26th Ave E,Seattle,WA 98112,USA
161,161,9314 Ash Ave SE,Snoqualmie,WA 98065,USA
162,162,7921 45th Ave SW,Seattle,WA 98136,USA
163,163,615 NW 92nd St,Seattle,WA 98117,USA
164,164,5138 NE 8th St,Renton,WA 98059,USA
165,165,6544 18th Ave SW,Seattle,WA 98106,USA
166,166,10037 Interlake Ave N,Seattle,WA 98133,USA
167,167,353 N 105th St,Seattle,WA 98133,USA
168,168,7730 33rd Ave NW,Seattle,WA 98117,USA
169,169,3446 77th Ave SE,Mercer Island,WA 98040,USA
170,170,3810 145th Ave SE,Bellevue,WA 98006,USA
171,171,1109 32nd Ave,Seattle,WA 98122,USA
172,172,7558 32nd Ave NW,Seattle,WA 98117,USA
173,173,921 S 223rd St,Des Moines,WA 98198,USA
174,174,28511 10th Ave S,Federal Way,WA 98003,USA
175,175,14319 165th Pl SE,Renton,WA 98059,USA
176,176,721 222nd Pl NE,Sammamish,WA 98074,USA
177,177,404 SW 197th St,Normandy Park,WA 98166,USA
178,178,475-547 Monroe Ave NE,Renton,WA 98056,USA
179,179,26205 119th Dr SE,Kent,WA 98030,USA
180,180,200 Pike St SE,Auburn,WA 98002,USA
181,181,11549 SE 319th Pl,Auburn,WA 98092,USA
182,182,4607 SW Cloverdale St,Seattle,WA 98136,USA
183,183,6000-6048 22nd Ave S,Seattle,WA 98108,USA
184,184,4254 33rd Ave W,Seattle,WA 98199,USA
185,185,8622 NE 139th St,Kirkland,WA 98034,USA
186,186,2901 W Elmore St,Seattle,WA 98199,USA
187,187,2500 Mulberry Walk NE,Issaquah,WA 98029,USA
188,188,18527 Kenlake Pl NE,Kenmore,WA 98028,USA
189,189,6917 28th Ave NW,Seattle,WA 98117,USA
190,190,316 Lake Washington Blvd S,Seattle,WA 98144,USA
191,191,21560 SE 275th Ct,Maple Valley,WA 98038,USA
192,192,2145 N 88th St,Seattle,WA 98103,USA
193,193,13547 SE 83rd St,Newcastle,WA 98059,USA
194,194,2363 30th Ave NE,Issaquah,WA 98029,USA
195,195,15905 Saybrook Dr NE,Woodinville,WA 98077,USA
196,196,322 16th Ave,Seattle,WA 98122,USA
197,197,11909 SE 228th Pl,Kent,WA 98031,USA
198,198,14836 Densmore Ave N,Shoreline,WA 98133,USA
199,199,7557 35th Ave NE,Seattle,WA 98115,USA
200,200,16501-16515 Carlyle Hall Rd N,Shoreline,WA 98133,USA
201,201,8715 17th Ave NW,Seattle,WA 98117,USA
202,202,1522 55th Ct SE,Auburn,WA 98092,USA
203,203,1807 17th Ave S,Seattle,WA 98144,USA
204,204,5242 336th Ave SE,Fall City,WA 98024,USA
205,205,27204 116th Pl SE,Kent,WA 98030,USA
206,206,1456 NW 185th St,Shoreline,WA 98177,USA
207,207,33610 51st Ave S,Auburn,WA 98001,USA
208,208,920 163rd Ave SE,Bellevue,WA 98008,USA
209,209,1400 S 359th St,Federal Way,WA 98003,USA
210,210,14800-14822 88th Ave NE,Kenmore,WA 98028,USA
211,211,30004 SE Lake Retreat S Dr,Ravensdale,WA 98051,USA
212,212,14937 57th Ave S,Tukwila,WA 98168,USA
213,213,14923 280th Pl NE,Duvall,WA 98019,USA
214,214,3305 39th Ave W,Seattle,WA 98199,USA
215,215,14235 160th Ave NE,Woodinville,WA 98072,USA
216,216,2000 NE 113th St,Seattle,WA 98125,USA
217,217,2033 211th Pl SE,Sammamish,WA 98075,USA
218,218,14244 140th Ave SE,Renton,WA 98059,USA
219,219,11400-11598 SE 114th Pl,Issaquah,WA 98027,USA
220,220,504 Shelton Ct NE,Renton,WA 98056,USA
221,221,26021 NE 25th St,Redmond,WA 98053,USA
222,222,1909 N 195th St,Shoreline,WA 98133,USA
223,223,3755 S 168th St,SeaTac,WA 98188,USA
224,224,16824 11th Pl NE,Shoreline,WA 98155,USA
225,225,10872 SE 318th Pl,Auburn,WA 98092,USA
226,226,13622 NE 136th Pl,Kirkland,WA 98034,USA
227,227,3047 21st Ave W,Seattle,WA 98199,USA
228,228,16 R Pl NE,Auburn,WA 98002,USA
229,229,6520-6588 8th Ave NW,Seattle,WA 98117,USA
230,230,6133 147th Pl NE,Redmond,WA 98052,USA
231,231,24217 181st Pl SE,Covington,WA 98042,USA
232,232,10441 SE 24th Pl,Bellevue,WA 98004,USA
233,233,2559 NE 98th St,Seattle,WA 98115,USA
234,234,15924 NE 53rd St,Redmond,WA 98052,USA
235,235,26054 SE 23rd Pl,Sammamish,WA 98075,USA
236,236,5491 175th Pl SE,Bellevue,WA 98006,USA
237,237,4620 Kennedy Ave SE,Auburn,WA 98092,USA
238,238,12901 NE 136th St,Kirkland,WA 98034,USA
239,239,36023 3rd Ave S,Federal Way,WA 98003,USA
240,240,7590 86th Ave SE,Mercer Island,WA 98040,USA
241,241,4036 S 119th St,Tukwila,WA 98168,USA
242,242,808 Hoquiam Ave NE,Renton,WA 98059,USA
243,243,1458-1462 29th Pl NE,Issaquah,WA 98029,USA
244,244,4531 205th Pl NE,Sammamish,WA 98074,USA
245,245,833 SW 361st St,Federal Way,WA 98023,USA
246,246,24231 NE 5th Pl,Sammamish,WA 98074,USA
247,247,12902 SE 158th Pl,Renton,WA 98058,USA
248,248,12713 SE 302nd St,Auburn,WA 98092,USA
249,249,16231 NE 29th St,Bellevue,WA 98008,USA
250,250,12208 20th Ave S,Seattle,WA 98168,USA
251,251,21023-21029 NE 42nd St,Sammamish,WA 98074,USA
252,252,12145 SE 260th Pl,Kent,WA 98030,USA
253,253,1001 Whitman Ct NE,Renton,WA 98059,USA
254,254,4137 48th Ave SW,Seattle,WA 98116,USA
255,255,19415 107th Ave SE,Renton,WA 98055,USA
256,256,1422 S 282nd Pl,Federal Way,WA 98003,USA
257,257,3539 NW 67th St,Seattle,WA 98117,USA
258,258,29611 21st Ave S,Federal Way,WA 98003,USA
259,259,11515 4th Ave NE,Seattle,WA 98125,USA
260,260,5212 Wallingford Ave N,Seattle,WA 98103,USA
261,261,18218 Evanston Ave N,Shoreline,WA 98133,USA
262,262,14013 101st Pl NE,Kirkland,WA 98034,USA
263,263,4446 S 160th St,Tukwila,WA 98188,USA
264,264,4531 S Lucile St,Seattle,WA 98118,USA
265,265,5419 156th Ave NE,Redmond,WA 98052,USA
266,266,1323 145th Ave SE,Bellevue,WA 98007,USA
267,267,8121 NE 147th Pl,Kenmore,WA 98028,USA
268,268,17013 NE 133rd St,Redmond,WA 98052,USA
269,269,11401 SE 219th Pl,Kent,WA 98031,USA
270,270,15839 84th Ave NE,Kenmore,WA 98028,USA
271,271,3311 SE 17th St,Renton,WA 98058,USA
272,272,4216 232nd Ave NE,Redmond,WA 98053,USA
273,273,13219 424th Ave SE,North Bend,WA 98045,USA
274,274,5038 48th Ave NE,Seattle,WA 98105,USA
275,275,1106 25th Ave E,Seattle,WA 98112,USA
276,276,2548 111th Ave SE,Bellevue,WA 98004,USA
277,277,309 N 46th St,Seattle,WA 98103,USA
278,278,26118 SE 39th Ct,Issaquah,WA 98029,USA
279,279,29031 40th Ave S,Auburn,WA 98001,USA
280,280,24038 SE 13th Pl,Sammamish,WA 98075,USA
281,281,392 Wilderness Peak Dr NW,Issaquah,WA 98027,USA
282,282,2145 N 178th St,Shoreline,WA 98133,USA
283,283,11738 1st Ave NE,Seattle,WA 98125,USA
284,284,26516 235th Ave SE,Maple Valley,WA 98038,USA
285,285,7822 NE 14th St,Medina,WA 98039,USA
286,286,1922 35th Ave W,Seattle,WA 98199,USA
287,287,18949 Mountain View Rd NE,Duvall,WA 98019,USA
288,288,1315 232nd Pl NE,Sammamish,WA 98074,USA
289,289,35219 26th Ct S,Federal Way,WA 98003,USA
290,290,17228 11th Ave NE,Shoreline,WA 98155,USA
291,291,12415 NE 160th St,Woodinville,WA 98072,USA
292,292,18901-18937 114th Ct SE,Renton,WA 98055,USA
293,293,13704-13712 209th Ave NE,Woodinville,WA 98077,USA
294,294,4103 SW Kenyon St,Seattle,WA 98136,USA
295,295,7558 19th Ave SW,Seattle,WA 98106,USA
296,296,1610 N 185th St,Shoreline,WA 98133,USA
297,297,2609 21st Ave S,Seattle,WA 98144,USA
298,298,601 NE 76th St,Seattle,WA 98115,USA
299,299,8600-8698 30th Ave NE,Seattle,WA 98115,USA
300,300,3825 138th Ave SE,Bellevue,WA 98006,USA
301,301,26635 Timberlane Dr SE,Covington,WA 98042,USA
302,302,4020 21st Ave SW,Seattle,WA 98106,USA
303,303,10320 NE 125th Pl,Kirkland,WA 98034,USA
304,304,10904 SE 1st St,Bellevue,WA 98004,USA
305,305,2816 SW 110th Pl,Seattle,WA 98146,USA
306,306,12033 Dayton Ave N,Seattle,WA 98133,USA
307,307,4530 48th Ave SW,Seattle,WA 98116,USA
308,308,4527-4553 NE 201st Pl,Lake Forest Park,WA 98155,USA
309,309,12215 Dayton Ave N,Seattle,WA 98133,USA
310,310,17620 SE 121st Pl,Renton,WA 98059,USA
311,311,2419 SW Barton St,Seattle,WA 98106,USA
312,312,170 Mt Quay Dr NW,Issaquah,WA 98027,USA
313,313,4417 47th Ave S,Seattle,WA 98118,USA
314,314,19107 NE 64th Way,Redmond,WA 98052,USA
315,315,12331 A 10th Pl NE,Seattle,WA 98125,USA
316,316,19601-19853 Newport Way NW,Issaquah,WA 98027,USA
317,317,9881 244th Pl NE,Redmond,WA 98053,USA
318,318,5021 Delridge Way SW,Seattle,WA 98106,USA
319,319,31215 SE 40th St,Fall City,WA 98024,USA
320,320,25707 SE 30th St,Sammamish,WA 98075,USA
321,321,8024 117th Pl SE,Newcastle,WA 98056,USA
322,322,13105 SE 277th Pl,Kent,WA 98030,USA
323,323,12711 470th Ave SE,North Bend,WA 98045,USA
324,324,6849 26th Ave NE,Seattle,WA 98115,USA
325,325,6516 Denny Peak Dr SE,Snoqualmie,WA 98065,USA
326,326,8124 24th Ave SW,Seattle,WA 98106,USA
327,327,4042 34th Ave SW,Seattle,WA 98126,USA
328,328,16703 133rd Pl SE,Renton,WA 98058,USA
329,329,2561 NE 85th St,Seattle,WA 98115,USA
330,330,10835 41st Ave SW,Seattle,WA 98146,USA
331,331,1746 NW 60th St,Seattle,WA 98107,USA
332,332,401 SW 322nd St,Federal Way,WA 98023,USA
333,333,11123 NE 141st Pl,Kirkland,WA 98034,USA
334,334,44402 SE 142nd Pl,North Bend,WA 98045,USA
335,335,13012 41st Ave S,Tukwila,WA 98168,USA
336,336,1501-1515 SW 327th St,Federal Way,WA 98023,USA
337,337,1778 26th Ave NE,Issaquah,WA 98029,USA
338,338,28507 Vashon Hwy SW,Vashon,WA 98070,USA
339,339,23013 NE 28th St,Sammamish,WA 98074,USA
340,340,12054 NE 137th Ct,Kirkland,WA 98034,USA
341,341,26010 141st Ave SE,Kent,WA 98042,USA
342,342,14040 24th Ave NE,Seattle,WA 98125,USA
343,343,12652 SE 160th St,Renton,WA 98058,USA
344,344,2610 E Montlake Pl E,Seattle,WA 98112,USA
345,345,11931 179th Pl NE,Redmond,WA 98052,USA
346,346,1617-1621 3rd Ave W,Seattle,WA 98119,USA
347,347,24246 229th Ave SE,Maple Valley,WA 98038,USA
348,348,4111 Woodland Park Ave N,Seattle,WA 98103,USA
349,349,27022 216th Ave SE,Maple Valley,WA 98038,USA
350,350,1512 NW 62nd St,Seattle,WA 98107,USA
351,351,2559 24th Ave W,Seattle,WA 98199,USA
352,352,12040 201st Pl NE,Woodinville,WA 98077,USA
353,353,27200-27218 52nd Ave S,Kent,WA 98032,USA
354,354,16221 Bagley Pl N,Shoreline,WA 98133,USA
355,355,20721 9th Ave S,Des Moines,WA 98198,USA
356,356,36415 12th Pl S,Federal Way,WA 98003,USA
357,357,17849 149th Ave NE,Woodinville,WA 98072,USA
358,358,2207 Kennewick Pl NE,Renton,WA 98056,USA
359,359,22610 133rd Pl SE,Kent,WA 98042,USA
360,360,5255 39th Ave NE,Seattle,WA 98105,USA
361,361,8627 9th Ave SW,Seattle,WA 98106,USA
362,362,3419 SW Morgan St,Seattle,WA 98126,USA
363,363,3200 44th Ave SW,Seattle,WA 98116,USA
364,364,6504 E Crest View Loop SE,Snoqualmie,WA 98065,USA
365,365,1001 SW 102nd St,Seattle,WA 98146,USA
366,366,2001 S Norman St,Seattle,WA 98144,USA
367,367,22119 123rd Ave SE,Kent,WA 98031,USA
368,368,120 Mt Si Pl NW,Issaquah,WA 98027,USA
369,369,9930 NE 197th St,Bothell,WA 98011,USA
370,370,26004 18th Ave S,Des Moines,WA 98198,USA
371,371,9055 Palatine Ave N,Seattle,WA 98103,USA
372,372,411 27th Ave E,Seattle,WA 98112,USA
373,373,26607 190th Ave SE,Covington,WA 98042,USA
374,374,2504 225th Pl NE,Sammamish,WA 98074,USA
375,375,24925 234th Pl SE,Maple Valley,WA 98038,USA
376,376,15421 SE 4th Pl,Bellevue,WA 98007,USA
377,377,7752 33rd Ave NW,Seattle,WA 98117,USA
378,378,18819 71st Ave NE,Kenmore,WA 98028,USA
379,379,4080 E Mercer Way,Mercer Island,WA 98040,USA
380,380,2012 NW Boulder Way Dr,Issaquah,WA 98027,USA
381,381,35019 SE Terrace St,Snoqualmie,WA 98065,USA
382,382,21481 SE 2nd Pl,Sammamish,WA 98074,USA
383,383,6510 34th Ave SW,Seattle,WA 98126,USA
384,384,6227-6299 Whitaker Ln SE,Snoqualmie,WA 98065,USA
385,385,373 NE Eagle Way,Issaquah,WA 98029,USA
386,386,17510 12th Ave NE,Shoreline,WA 98155,USA
387,387,4468 158th Ave SE,Bellevue,WA 98006,USA
388,388,921-927 18th Ave,Seattle,WA 98122,USA
389,389,2204 W Emerson St,Seattle,WA 98199,USA
390,390,18303 155th Pl SE,Renton,WA 98058,USA
391,391,419 Wetherbee Ln,Enumclaw,WA 98022,USA
392,392,14117 175th Ave NE,Redmond,WA 98052,USA
393,393,13440 NE 148th St,Woodinville,WA 98072,USA
394,394,7426 N Fork Rd SE,Snoqualmie,WA 98065,USA
395,395,8023 12th Ave NE,Seattle,WA 98115,USA
396,396,2049 144th Ave SE,Bellevue,WA 98007,USA
397,397,2906 Kennewick Pl NE,Renton,WA 98056,USA
398,398,800 NE 95th St,Seattle,WA 98115,USA
399,399,22020 127th Ct SE,Kent,WA 98031,USA
400,400,7008 19th Ave NW,Seattle,WA 98117,USA
401,401,833 SW 346th St,Federal Way,WA 98023,USA
402,402,4625 Somerset Dr SE,Bellevue,WA 98006,USA
403,403,12611 SE 160th St,Renton,WA 98058,USA
404,404,4800-4898 Whitman Ave N,Seattle,WA 98103,USA
405,405,27305 245th Ave SE,Maple Valley,WA 98038,USA
406,406,6411 22nd Ave NW,Seattle,WA 98107,USA
407,407,15511 9th Ave NE,Shoreline,WA 98155,USA
408,408,5151 S Othello St,Seattle,WA 98118,USA
409,409,7353 16th Ave NW,Seattle,WA 98117,USA
410,410,8024 S 130th St,Seattle,WA 98178,USA
411,411,44633 SE 151st St,North Bend,WA 98045,USA
412,412,5612 18th Ave SW,Seattle,WA 98106,USA
413,413,7341 20th Ave NE,Seattle,WA 98115,USA
414,414,7615 SW 257th St,Vashon,WA 98070,USA
415,415,8309 36th Ave S,Seattle,WA 98118,USA
416,416,11428 SE 225th St,Kent,WA 98031,USA
417,417,365 Crockett St,Seattle,WA 98109,USA
418,418,29701-29727 138th Ave SE,Auburn,WA 98092,USA
419,419,44250 SE Edgewick Rd,North Bend,WA 98045,USA
420,420,10635 SE 2nd St,Bellevue,WA 98004,USA
421,421,30271 129th Ave SE,Auburn,WA 98092,USA
422,422,615 NW 92nd St,Seattle,WA 98117,USA
423,423,11807 NE 105th Ct,Kirkland,WA 98033,USA
424,424,15024 Wallingford Ave N,Shoreline,WA 98133,USA
425,425,2500 Mulberry Walk NE,Issaquah,WA 98029,USA
426,426,7360 19th Ave NW,Seattle,WA 98117,USA
427,427,24023 SE 282nd St,Maple Valley,WA 98038,USA
428,428,11053 Greenwood Ave N,Seattle,WA 98133,USA
429,429,17822 NE 154th St,Woodinville,WA 98072,USA
430,430,6211 Ravenna Ave NE,Seattle,WA 98115,USA
431,431,1714 SW 354th Pl,Federal Way,WA 98023,USA
432,432,26715 Stanford Ct,Kent,WA 98032,USA
433,433,821 Dayton Ave NE,Renton,WA 98056,USA
434,434,2023 24th Ave S,Seattle,WA 98144,USA
435,435,6305 150th Ave NE,Redmond,WA 98052,USA
436,436,4621 193rd Pl SE,Issaquah,WA 98027,USA
437,437,18581 134th Pl NE,Woodinville,WA 98072,USA
438,438,10510 160th Ave NE,Redmond,WA 98052,USA
439,439,816 NW Market St,Seattle,WA 98107,USA
440,440,1820 24th Ave,Seattle,WA 98122,USA
441,441,240 S 198th St,Des Moines,WA 98148,USA
442,442,18524 SE 60th St,Issaquah,WA 98027,USA
443,443,14926 NE 202nd St,Woodinville,WA 98072,USA
444,444,10805 177th Ct NE,Redmond,WA 98052,USA
445,445,454 A St,Renton,WA 98056,USA
446,446,3646 Dayton Ave N,Seattle,WA 98103,USA
447,447,16215 SE 172nd Ct,Renton,WA 98058,USA
448,448,14917-14999 27th Pl S,SeaTac,WA 98188,USA
449,449,6728 40th Ave SW,Seattle,WA 98136,USA
450,450,1755 140th Ct SE,Bellevue,WA 98007,USA
451,451,16336 131st Ave SE,Renton,WA 98058,USA
452,452,901 18th Ave,Seattle,WA 98122,USA
453,453,10010 44th Ave SW,Seattle,WA 98146,USA
454,454,6729 37th Ave S,Seattle,WA 98118,USA
455,455,23911 SE 6th St,Redmond,WA 98074,USA
456,456,18200-18298 13th Ave NW,Shoreline,WA 98177,USA
457,457,4751 Stephens Ave,Carnation,WA 98014,USA
458,458,17110-17116 146th Ave SE,Renton,WA 98058,USA
459,459,23902 6th Ave S,Des Moines,WA 98198,USA
460,460,2632 NW North Beach Dr,Seattle,WA 98117,USA
461,461,714 NE 10th St,North Bend,WA 98045,USA
462,462,20402 63rd Ave NE,Kenmore,WA 98028,USA
463,463,13322 SE 77th Ct,Newcastle,WA 98059,USA
464,464,2313 NW 65th St,Seattle,WA 98117,USA
465,465,8354 11th Ave NW,Seattle,WA 98117,USA
466,466,4 151st Pl NE,Bellevue,WA 98007,USA
467,467,2009 4th Ave N,Seattle,WA 98109,USA
468,468,9445 8th Ave SW,Seattle,WA 98106,USA
